18:47:23.126 +  89.296s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:23.683 +  89.853s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:24.140 +  90.310s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:24.597 +  90.767s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:25.349 +  91.519s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:26.175 +  92.345s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:27.034 +  93.204s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:27.847 +  94.018s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:28.613 +  94.783s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:29.201 +  95.372s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:29.662 +  95.832s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:30.112 +  96.283s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:30.559 +  96.729s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:30.970 +  97.141s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:31.386 +  97.557s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:31.780 +  97.950s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:32.195 +  98.366s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:32.608 +  98.778s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:33.012 +  99.182s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:33.487 +  99.657s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:33.938 + 100.109s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:34.458 + 100.628s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:34.897 + 101.068s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:35.278 + 101.448s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:35.715 + 101.886s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:36.209 + 102.379s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:36.638 + 102.809s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:37.039 + 103.209s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:37.549 + 103.720s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:37.936 + 104.106s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:38.350 + 104.521s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:38.795 + 104.965s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:39.168 + 105.338s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:39.614 + 105.784s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:39.993 + 106.163s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:40.377 + 106.548s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:40.774 + 106.945s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:41.192 + 107.363s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:41.616 + 107.786s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:42.086 + 108.257s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:42.509 + 108.679s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:42.892 + 109.062s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:43.037 + 109.208s  CALLBACK progress: ticker=WINFUT progresso=99
18:48:27.879 + 154.050s  CALLBACK progress: ticker=WINFUT progresso=100
18:48:38.098 + 164.269s  RESULTADO 24/08/2026: negocios=5346168 terminou_por=ok
18:48:58.120 + 184.290s  salvo: data\raw\trade\dt=2026-08-24\sym=WINFUT\part-0000.parquet (5346168 negocios)
18:48:58.494 + 184.664s  dia 24/08/2026 -> data\raw\trade\dt=2026-08-24\sym=WINFUT\part-0000.parquet
18:48:58.494 + 184.664s  --- GetHistoryTrades('WINFUT', 'F', '25/08/2026 09:00:00', '25/08/2026 18:35:00') ---
18:48:58.792 + 184.963s  GetHistoryTrades retornou 0 = NL_OK em 0.5 ms
18:48:58.793 + 184.963s  CALLBACK progress: ticker=WINFUT progresso=0
18:48:58.834 + 185.005s  CALLBACK progress: ticker=WINFUT progresso=91
18:48:58.936 + 185.106s  CALLBACK progress: ticker=WINFUT progresso=92
18:48:59.036 + 185.206s  CALLBACK progress: ticker=WINFUT progresso=93
18:48:59.232 + 185.403s  CALLBACK progress: ticker=WINFUT progresso=94
18:48:59.336 + 185.506s  CALLBACK progress: ticker=WINFUT progresso=95
18:48:59.437 + 185.607s  CALLBACK progress: ticker=WINFUT progresso=96
18:48:59.586 + 185.756s  CALLBACK progress: ticker=WINFUT progresso=97
18:48:59.629 + 185.799s  CALLBACK progress: ticker=WINFUT progresso=98
18:48:59.634 + 185.804s  CALLBACK progress: ticker=WINFUT progresso=99
18:48:59.637 + 185.807s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:00.086 + 186.256s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:00.525 + 186.695s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:00.929 + 187.100s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:01.341 + 187.511s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:01.788 + 187.959s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:02.186 + 188.356s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:02.826 + 188.996s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:03.340 + 189.510s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:03.765 + 189.935s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:04.187 + 190.358s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:04.733 + 190.904s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:05.161 + 191.331s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:05.563 + 191.734s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:05.994 + 192.164s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:06.410 + 192.581s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:06.893 + 193.063s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:07.291 + 193.461s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:07.696 + 193.866s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:08.135 + 194.305s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:08.599 + 194.769s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:09.128 + 195.298s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:09.741 + 195.911s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:10.219 + 196.390s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:10.748 + 196.918s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:11.253 + 197.423s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:11.805 + 197.975s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:12.310 + 198.480s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:12.908 + 199.079s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:13.443 + 199.613s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:13.966 + 200.136s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:14.590 + 200.760s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:15.084 + 201.254s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:15.533 + 201.704s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:15.989 + 202.159s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:16.449 + 202.619s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:16.988 + 203.158s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:17.512 + 203.682s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:18.059 + 204.230s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:18.582 + 204.753s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:19.061 + 205.231s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:19.569 + 205.740s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:20.074 + 206.245s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:20.500 + 206.670s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:20.912 + 207.083s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:21.314 + 207.485s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:21.762 + 207.932s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:22.168 + 208.338s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:22.564 + 208.734s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:22.964 + 209.134s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:23.345 + 209.515s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:23.779 + 209.949s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:24.164 + 210.334s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:24.674 + 210.844s  CALLBACK progress: ticker=WINFUT progresso=99
18:49:24.798 + 210.969s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:10.461 + 256.631s  CALLBACK progress: ticker=WINFUT progresso=100
18:50:20.679 + 266.849s  RESULTADO 25/08/2026: negocios=5542718 terminou_por=ok
18:50:39.810 + 285.981s  salvo: data\raw\trade\dt=2026-08-25\sym=WINFUT\part-0000.parquet (5542718 negocios)
18:50:40.279 + 286.449s  dia 25/08/2026 -> data\raw\trade\dt=2026-08-25\sym=WINFUT\part-0000.parquet
18:50:40.279 + 286.449s  --- GetHistoryTrades('WINFUT', 'F', '26/08/2026 09:00:00', '26/08/2026 18:35:00') ---
18:50:40.590 + 286.760s  GetHistoryTrades retornou 0 = NL_OK em 0.3 ms
18:50:40.590 + 286.760s  CALLBACK progress: ticker=WINFUT progresso=0
18:50:40.663 + 286.833s  CALLBACK progress: ticker=WINFUT progresso=90
18:50:40.771 + 286.941s  CALLBACK progress: ticker=WINFUT progresso=91
18:50:40.831 + 287.001s  CALLBACK progress: ticker=WINFUT progresso=92
18:50:40.872 + 287.043s  CALLBACK progress: ticker=WINFUT progresso=93
18:50:40.912 + 287.083s  CALLBACK progress: ticker=WINFUT progresso=94
18:50:40.980 + 287.150s  CALLBACK progress: ticker=WINFUT progresso=95
18:50:41.063 + 287.233s  CALLBACK progress: ticker=WINFUT progresso=96
18:50:41.108 + 287.278s  CALLBACK progress: ticker=WINFUT progresso=97
18:50:41.141 + 287.311s  CALLBACK progress: ticker=WINFUT progresso=98
18:50:41.166 + 287.337s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:41.172 + 287.342s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:41.703 + 287.873s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:42.191 + 288.361s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:42.657 + 288.827s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:43.074 + 289.244s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:43.520 + 289.691s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:43.959 + 290.129s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:44.548 + 290.719s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:44.967 + 291.137s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:45.462 + 291.632s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:45.952 + 292.122s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:46.485 + 292.655s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:47.245 + 293.415s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:47.944 + 294.114s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:48.592 + 294.762s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:49.173 + 295.343s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:49.759 + 295.930s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:50.824 + 296.994s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:51.860 + 298.030s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:52.849 + 299.019s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:54.012 + 300.183s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:54.653 + 300.823s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:55.223 + 301.393s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:55.965 + 302.136s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:56.585 + 302.755s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:57.184 + 303.354s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:57.732 + 303.902s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:58.274 + 304.445s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:58.796 + 304.966s  CALLBACK progress: ticker=WINFUT progresso=99
18:50:59.495 + 305.666s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:00.043 + 306.214s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:00.475 + 306.645s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:00.893 + 307.063s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:01.300 + 307.470s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:01.697 + 307.867s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:04.387 + 310.558s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:11.759 + 317.929s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:12.283 + 318.453s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:12.819 + 318.989s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:13.388 + 319.558s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:13.943 + 320.113s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:14.433 + 320.603s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:15.013 + 321.183s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:15.515 + 321.686s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:16.137 + 322.308s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:16.805 + 322.975s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:17.551 + 323.721s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:18.237 + 324.407s  CALLBACK progress: ticker=WINFUT progresso=99
18:51:18.889 + 325.060s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:15.555 + 381.725s  CALLBACK progress: ticker=WINFUT progresso=100
18:52:25.769 + 391.939s  RESULTADO 26/08/2026: negocios=5008994 terminou_por=ok
18:52:44.892 + 411.062s  salvo: data\raw\trade\dt=2026-08-26\sym=WINFUT\part-0000.parquet (5008994 negocios)
18:52:45.339 + 411.510s  dia 26/08/2026 -> data\raw\trade\dt=2026-08-26\sym=WINFUT\part-0000.parquet
18:52:45.340 + 411.510s  --- GetHistoryTrades('WINFUT', 'F', '27/08/2026 09:00:00', '27/08/2026 18:35:00') ---
18:52:45.691 + 411.861s  GetHistoryTrades retornou 0 = NL_OK em 0.6 ms
18:52:45.691 + 411.862s  CALLBACK progress: ticker=WINFUT progresso=0
18:52:45.743 + 411.914s  CALLBACK progress: ticker=WINFUT progresso=87
18:52:46.007 + 412.178s  CALLBACK progress: ticker=WINFUT progresso=88
18:52:46.022 + 412.193s  CALLBACK progress: ticker=WINFUT progresso=89
18:52:46.030 + 412.200s  CALLBACK progress: ticker=WINFUT progresso=90
18:52:46.035 + 412.205s  CALLBACK progress: ticker=WINFUT progresso=91
18:52:46.038 + 412.208s  CALLBACK progress: ticker=WINFUT progresso=92
18:52:46.047 + 412.217s  CALLBACK progress: ticker=WINFUT progresso=93
18:52:46.110 + 412.280s  CALLBACK progress: ticker=WINFUT progresso=94
18:52:46.241 + 412.411s  CALLBACK progress: ticker=WINFUT progresso=95
18:52:46.319 + 412.489s  CALLBACK progress: ticker=WINFUT progresso=96
18:52:46.401 + 412.571s  CALLBACK progress: ticker=WINFUT progresso=97
18:52:46.441 + 412.612s  CALLBACK progress: ticker=WINFUT progresso=98
18:52:46.443 + 412.613s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:46.444 + 412.615s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:47.002 + 413.172s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:47.594 + 413.764s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:48.148 + 414.318s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:48.712 + 414.882s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:49.299 + 415.469s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:49.915 + 416.085s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:50.557 + 416.727s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:51.046 + 417.216s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:51.494 + 417.664s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:51.931 + 418.101s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:52.393 + 418.564s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:52.962 + 419.133s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:53.509 + 419.679s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:54.028 + 420.198s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:54.534 + 420.704s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:55.039 + 421.210s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:55.551 + 421.721s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:56.094 + 422.264s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:56.608 + 422.779s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:57.111 + 423.282s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:57.671 + 423.842s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:58.195 + 424.365s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:58.709 + 424.880s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:59.234 + 425.405s  CALLBACK progress: ticker=WINFUT progresso=99
18:52:59.731 + 425.901s  CALLBACK progress: ticker=WINFUT progresso=99
18:53:00.226 + 426.396s  CALLBACK progress: ticker=WINFUT progresso=99
18:53:00.735 + 426.906s  CALLBACK progress: ticker=WINFUT progresso=99
